product_id,product_name,category,returns_percent,risk_level,news_summary,user_id,user_age,user_risk_appetite,investment_goal,age_group
FUND00031,Kotak Index Fund,Sectoral,8.99,Moderate,Index funds outperform actively managed peers,USER1053,36,Low,retirement,36-45
FUND00032,SBI Balanced Fund,Debt,21.26,High,Investors shift focus to emerging markets,USER1274,42,Low,tax saving,36-45
FUND00033,Axis Growth Fund,Equity,11.93,Low,Investors shift focus to emerging markets,USER1799,30,Moderate,short-term gain,26-35
FUND00034,ICICI Balanced Fund,Balanced,6.71,Moderate,Economic growth forecasts revised upward,USER1024,53,Low,child education,46-60
FUND00035,Kotak Growth Fund,Index,16.11,Moderate,High-risk funds show unexpected performance,USER0457,32,High,retirement,26-35
FUND00036,Kotak Index Fund,Sectoral,5.9,Moderate,Financial sector poised for recovery,USER0989,56,High,tax saving,46-60
FUND00037,Kotak Growth Fund,Balanced,13.04,High,Financial sector poised for recovery,USER1324,33,Moderate,retirement,26-35
FUND00038,HDFC Tax Saver Fund,Hybrid,2.2,High,Markets rally as tech stocks gain momentum,USER0924,29,Low,tax saving,26-35
FUND00039,SBI Growth Fund,Hybrid,5.36,Moderate,Financial sector poised for recovery,USER1884,34,Moderate,retirement,26-35
FUND00040,ICICI Index Fund,Equity,12.98,High,Economic growth forecasts revised upward,USER1451,26,High,long-term growth,26-35
FUND00041,SBI Tax Saver Fund,Debt,15.69,High,Economic growth forecasts revised upward,USER0877,37,Low,tax saving,36-45
FUND00042,HDFC Value Fund,Balanced,12.86,High,Economic growth forecasts revised upward,USER0426,48,Moderate,short-term gain,46-60
FUND00043,Kotak Balanced Fund,Debt,11.42,Moderate,Markets rally as tech stocks gain momentum,USER0918,49,High,retirement,46-60
FUND00044,ICICI Tax Saver Fund,Sectoral,10.49,Low,Investors shift focus to emerging markets,USER1422,65,High,long-term growth,
FUND00045,Kotak Value Fund,Index,4.61,Low,Index funds outperform actively managed peers,USER1145,63,Moderate,tax saving,
FUND00046,HDFC Value Fund,Hybrid,8.4,Low,Economic growth forecasts revised upward,USER1468,23,Moderate,retirement,18-25
FUND00047,HDFC Balanced Fund,Sectoral,9.7,Low,Mutual funds see record inflows this quarter,USER1656,50,Moderate,tax saving,46-60
FUND00048,HDFC Index Fund,Equity,17.29,High,Oil prices stabilize amid geopolitical tensions,USER0458,46,Moderate,child education,46-60
FUND00049,ICICI Balanced Fund,Balanced,13.72,Moderate,Index funds outperform actively managed peers,USER1599,46,Moderate,long-term growth,46-60
FUND00050,Kotak Balanced Fund,Hybrid,3.18,High,Oil prices stabilize amid geopolitical tensions,USER1398,22,High,child education,18-25
FUND00051,Kotak Index Fund,Debt,13.62,High,Financial sector poised for recovery,USER0884,23,Moderate,child education,18-25
FUND00052,ICICI Value Fund,Index,10.07,High,Mutual funds see record inflows this quarter,USER1440,53,Moderate,long-term growth,46-60
FUND00053,SBI Index Fund,Sectoral,8.62,Moderate,High-risk funds show unexpected performance,USER1514,36,High,retirement,36-45
FUND00054,HDFC Balanced Fund,Debt,15.06,Low,Federal Reserve hints at interest rate cuts,USER0413,24,High,short-term gain,18-25
FUND00055,SBI Growth Fund,Sectoral,17.15,High,Economic growth forecasts revised upward,USER1620,44,Low,tax saving,36-45
FUND00056,ICICI Tax Saver Fund,Debt,16.66,Low,Strong corporate earnings boost investor sentiment,USER0282,54,High,tax saving,46-60
FUND00057,HDFC Growth Fund,Debt,7.8,Low,Economic growth forecasts revised upward,USER1990,61,Moderate,child education,
FUND00058,HDFC Value Fund,Equity,10.45,High,Index funds outperform actively managed peers,USER0951,62,Low,child education,
FUND00059,ICICI Value Fund,Balanced,13.66,Moderate,Investors shift focus to emerging markets,USER1412,46,Low,tax saving,46-60
FUND00060,ICICI Tax Saver Fund,Debt,16.88,High,Federal Reserve hints at interest rate cuts,USER0470,29,High,long-term growth,26-35
FUND00061,Kotak Tax Saver Fund,Index,9.6,Low,Markets rally as tech stocks gain momentum,USER1835,35,High,short-term gain,26-35
FUND00062,Axis Index Fund,Debt,11.07,Low,Markets rally as tech stocks gain momentum,USER0064,31,Moderate,child education,26-35
FUND00063,HDFC Index Fund,Hybrid,6.47,Moderate,Oil prices stabilize amid geopolitical tensions,USER1776,34,High,short-term gain,26-35
FUND00064,Axis Index Fund,Balanced,6.02,Low,High-risk funds show unexpected performance,USER0884,23,Moderate,child education,18-25
FUND00065,HDFC Growth Fund,Index,16.06,High,Markets rally as tech stocks gain momentum,USER0394,22,Low,long-term growth,18-25
FUND00066,SBI Growth Fund,Debt,18.78,Low,Financial sector poised for recovery,USER0656,39,High,child education,36-45
FUND00067,ICICI Tax Saver Fund,Index,11.64,Low,Markets rally as tech stocks gain momentum,USER1681,41,Moderate,child education,36-45
FUND00068,Axis Balanced Fund,Hybrid,17.02,Moderate,High-risk funds show unexpected performance,USER0847,50,Low,tax saving,46-60
FUND00069,ICICI Growth Fund,Index,13.81,High,Markets rally as tech stocks gain momentum,USER1371,46,Low,tax saving,46-60
FUND00070,HDFC Growth Fund,Balanced,8.77,High,Oil prices stabilize amid geopolitical tensions,USER0855,31,Moderate,retirement,26-35
FUND00071,HDFC Growth Fund,Debt,13.81,Low,High-risk funds show unexpected performance,USER1661,24,Moderate,retirement,18-25
FUND00072,Axis Index Fund,Index,19.69,Low,Index funds outperform actively managed peers,USER1893,52,Low,long-term growth,46-60
FUND00073,Axis Growth Fund,Debt,11.82,Moderate,Markets rally as tech stocks gain momentum,USER1780,45,Moderate,short-term gain,36-45
FUND00074,HDFC Index Fund,Hybrid,19.82,Moderate,Index funds outperform actively managed peers,USER0873,59,Moderate,long-term growth,46-60
FUND00075,SBI Index Fund,Balanced,-1.1,High,Index funds outperform actively managed peers,USER1498,58,Moderate,long-term growth,46-60
FUND00076,Kotak Index Fund,Debt,16.11,Low,Economic growth forecasts revised upward,USER1132,39,Low,tax saving,36-45
FUND00077,SBI Balanced Fund,Equity,12.44,High,Economic growth forecasts revised upward,USER0941,36,High,retirement,36-45
FUND00078,Kotak Growth Fund,Balanced,10.5,Moderate,Financial sector poised for recovery,USER1582,50,Moderate,child education,46-60
FUND00079,HDFC Growth Fund,Sectoral,12.46,Moderate,Oil prices stabilize amid geopolitical tensions,USER0990,55,Moderate,child education,46-60
FUND00080,Kotak Tax Saver Fund,Debt,2.06,Low,Investors shift focus to emerging markets,USER0782,42,Moderate,short-term gain,36-45
FUND00081,Kotak Growth Fund,Debt,10.9,Low,Markets rally as tech stocks gain momentum,USER0965,41,Low,long-term growth,36-45
FUND00082,Kotak Growth Fund,Balanced,13.79,Low,High-risk funds show unexpected performance,USER1436,64,High,short-term gain,
FUND00083,Axis Growth Fund,Sectoral,19.39,Low,Markets rally as tech stocks gain momentum,USER0958,39,High,short-term gain,36-45
FUND00084,Kotak Tax Saver Fund,Equity,9.41,High,Financial sector poised for recovery,USER0134,59,Moderate,short-term gain,46-60
FUND00085,HDFC Index Fund,Balanced,7.96,High,Index funds outperform actively managed peers,USER1266,64,Low,retirement,
FUND00086,Kotak Tax Saver Fund,Hybrid,9.49,Moderate,Oil prices stabilize amid geopolitical tensions,USER1444,25,Moderate,child education,18-25
FUND00087,ICICI Value Fund,Debt,16.58,Moderate,Strong corporate earnings boost investor sentiment,USER0222,36,Low,long-term growth,36-45
FUND00088,Axis Balanced Fund,Balanced,13.64,High,Index funds outperform actively managed peers,USER1127,32,High,child education,26-35
FUND00089,SBI Index Fund,Hybrid,9.35,Low,Strong corporate earnings boost investor sentiment,USER1412,46,Low,tax saving,46-60
FUND00090,HDFC Index Fund,Sectoral,14.57,High,Financial sector poised for recovery,USER0950,42,Moderate,tax saving,36-45
FUND00091,HDFC Growth Fund,Sectoral,12.49,Low,Investors shift focus to emerging markets,USER1776,34,High,short-term gain,26-35
FUND00092,Kotak Value Fund,Debt,16.84,Moderate,Economic growth forecasts revised upward,USER1219,61,Moderate,long-term growth,
FUND00093,HDFC Balanced Fund,Hybrid,8.49,Moderate,High-risk funds show unexpected performance,USER1253,54,High,child education,46-60
FUND00094,ICICI Index Fund,Sectoral,10.36,High,Strong corporate earnings boost investor sentiment,USER1614,42,High,short-term gain,36-45
FUND00095,SBI Tax Saver Fund,Balanced,10.04,High,Index funds outperform actively managed peers,USER1899,64,Low,child education,
FUND00096,HDFC Tax Saver Fund,Hybrid,4.68,High,High-risk funds show unexpected performance,USER0797,63,High,long-term growth,
FUND00097,HDFC Balanced Fund,Hybrid,13.48,Low,Economic growth forecasts revised upward,USER1599,46,Moderate,long-term growth,46-60
FUND00098,HDFC Tax Saver Fund,Debt,13.31,Moderate,Investors shift focus to emerging markets,USER1785,65,Low,long-term growth,
FUND00099,SBI Tax Saver Fund,Debt,12.03,High,Financial sector poised for recovery,USER1748,63,High,retirement,
FUND00100,SBI Balanced Fund,Balanced,10.83,High,Economic growth forecasts revised upward,USER1798,46,Low,short-term gain,46-60
FUND00101,SBI Tax Saver Fund,Index,4.92,Moderate,Mutual funds see record inflows this quarter,USER0634,40,Low,short-term gain,36-45
FUND00102,HDFC Growth Fund,Balanced,9.9,Moderate,Markets rally as tech stocks gain momentum,USER0897,34,Low,tax saving,26-35
FUND00103,SBI Growth Fund,Equity,10.29,Moderate,High-risk funds show unexpected performance,USER1255,44,High,long-term growth,36-45
FUND00104,ICICI Value Fund,Debt,7.99,High,Strong corporate earnings boost investor sentiment,USER1256,55,High,long-term growth,46-60
FUND00105,Axis Tax Saver Fund,Balanced,11.19,Moderate,Strong corporate earnings boost investor sentiment,USER0790,25,Low,retirement,18-25
FUND00106,Kotak Growth Fund,Equity,14.02,Low,Mutual funds see record inflows this quarter,USER0799,60,High,long-term growth,46-60
FUND00107,ICICI Tax Saver Fund,Equity,21.43,Moderate,Economic growth forecasts revised upward,USER0253,36,Moderate,tax saving,36-45
FUND00108,Kotak Tax Saver Fund,Debt,12.87,Moderate,Mutual funds see record inflows this quarter,USER0335,30,Low,child education,26-35
FUND00109,ICICI Growth Fund,Hybrid,13.29,Moderate,High-risk funds show unexpected performance,USER0343,57,Moderate,tax saving,46-60
FUND00110,HDFC Value Fund,Debt,11.63,High,Investors shift focus to emerging markets,USER0133,29,Moderate,long-term growth,26-35
FUND00111,ICICI Growth Fund,Hybrid,2.41,High,Economic growth forecasts revised upward,USER1695,25,High,short-term gain,18-25
FUND00112,Axis Tax Saver Fund,Balanced,11.87,Low,High-risk funds show unexpected performance,USER0478,33,Moderate,short-term gain,26-35
FUND00113,ICICI Balanced Fund,Debt,12.3,Moderate,Economic growth forecasts revised upward,USER0169,34,Moderate,long-term growth,26-35
FUND00114,HDFC Balanced Fund,Balanced,24.32,Moderate,Mutual funds see record inflows this quarter,USER0662,37,High,long-term growth,36-45
FUND00115,Axis Balanced Fund,Hybrid,11.04,Low,Strong corporate earnings boost investor sentiment,USER1306,43,High,tax saving,36-45
FUND00116,HDFC Index Fund,Equity,13.51,Moderate,Federal Reserve hints at interest rate cuts,USER0053,26,Low,short-term gain,26-35
FUND00117,ICICI Balanced Fund,Index,11.83,Moderate,Financial sector poised for recovery,USER1559,44,Low,tax saving,36-45
FUND00118,SBI Balanced Fund,Debt,6.16,Low,Index funds outperform actively managed peers,USER1254,38,Low,long-term growth,36-45
FUND00119,ICICI Index Fund,Hybrid,17.71,Moderate,Investors shift focus to emerging markets,USER1223,43,Low,long-term growth,36-45
FUND00120,HDFC Value Fund,Hybrid,15.76,High,Index funds outperform actively managed peers,USER1258,33,Moderate,short-term gain,26-35
FUND00121,Kotak Index Fund,Balanced,15.96,High,Federal Reserve hints at interest rate cuts,USER0164,33,High,long-term growth,26-35
FUND00122,SBI Growth Fund,Equity,7.45,Moderate,High-risk funds show unexpected performance,USER0331,33,Moderate,long-term growth,26-35
FUND00123,ICICI Tax Saver Fund,Hybrid,19.01,Low,Financial sector poised for recovery,USER0208,59,Moderate,short-term gain,46-60
FUND00124,HDFC Tax Saver Fund,Index,4.99,Moderate,Strong corporate earnings boost investor sentiment,USER0624,39,High,retirement,36-45
FUND00125,SBI Index Fund,Sectoral,14.93,High,High-risk funds show unexpected performance,USER0463,37,Low,short-term gain,36-45
FUND00126,HDFC Index Fund,Sectoral,22.95,Low,High-risk funds show unexpected performance,USER0365,22,Moderate,child education,18-25
FUND00127,SBI Growth Fund,Balanced,7.05,Moderate,Financial sector poised for recovery,USER1361,24,Moderate,tax saving,18-25
FUND00128,HDFC Tax Saver Fund,Sectoral,9.17,High,Mutual funds see record inflows this quarter,USER0120,55,Low,long-term growth,46-60
FUND00129,ICICI Value Fund,Index,12.5,Low,Markets rally as tech stocks gain momentum,USER0842,59,High,child education,46-60
FUND00130,SBI Tax Saver Fund,Hybrid,9.48,High,Markets rally as tech stocks gain momentum,USER0130,36,Moderate,tax saving,36-45
FUND00131,HDFC Value Fund,Sectoral,4.25,Moderate,Oil prices stabilize amid geopolitical tensions,USER1497,26,Low,short-term gain,26-35
FUND00132,Axis Value Fund,Index,12.34,High,Strong corporate earnings boost investor sentiment,USER1896,50,High,retirement,46-60
FUND00133,SBI Tax Saver Fund,Debt,6.69,Low,Mutual funds see record inflows this quarter,USER1590,57,Low,tax saving,46-60
FUND00134,Axis Index Fund,Balanced,14.37,High,Investors shift focus to emerging markets,USER1415,53,High,short-term gain,46-60
FUND00135,ICICI Tax Saver Fund,Sectoral,7.4,Moderate,Investors shift focus to emerging markets,USER1667,37,High,retirement,36-45
FUND00136,Axis Tax Saver Fund,Equity,19.75,Moderate,Markets rally as tech stocks gain momentum,USER0760,27,Low,child education,26-35
FUND00137,SBI Balanced Fund,Index,8.08,High,Investors shift focus to emerging markets,USER0117,62,High,child education,
FUND00138,Kotak Value Fund,Index,10.39,Moderate,Economic growth forecasts revised upward,USER0555,63,High,short-term gain,
FUND00139,Axis Balanced Fund,Sectoral,16.07,Moderate,Investors shift focus to emerging markets,USER0334,32,Low,child education,26-35
FUND00140,ICICI Growth Fund,Hybrid,5.85,High,Economic growth forecasts revised upward,USER0265,58,High,long-term growth,46-60
FUND00141,Kotak Value Fund,Equity,13.14,Low,Financial sector poised for recovery,USER0403,30,Moderate,long-term growth,26-35
FUND00142,SBI Balanced Fund,Debt,18.54,Low,Oil prices stabilize amid geopolitical tensions,USER1929,61,Low,short-term gain,
FUND00143,HDFC Growth Fund,Debt,3.96,Moderate,Markets rally as tech stocks gain momentum,USER0434,41,Low,short-term gain,36-45
FUND00144,Kotak Growth Fund,Index,12.92,Moderate,Oil prices stabilize amid geopolitical tensions,USER1093,23,High,retirement,18-25
FUND00145,Kotak Balanced Fund,Balanced,13.3,High,Investors shift focus to emerging markets,USER1613,55,High,child education,46-60
FUND00146,Axis Index Fund,Index,15.91,Low,Economic growth forecasts revised upward,USER1830,57,Low,retirement,46-60
FUND00147,ICICI Growth Fund,Equity,5.82,Moderate,Strong corporate earnings boost investor sentiment,USER0799,60,High,long-term growth,46-60
FUND00148,ICICI Balanced Fund,Balanced,5.4,High,Mutual funds see record inflows this quarter,USER0010,26,Low,long-term growth,26-35
FUND00149,Axis Growth Fund,Sectoral,14.61,Low,Investors shift focus to emerging markets,USER1907,53,Moderate,tax saving,46-60
FUND00150,HDFC Index Fund,Debt,13.48,Moderate,Mutual funds see record inflows this quarter,USER1338,55,High,retirement,46-60
FUND00151,Kotak Tax Saver Fund,Sectoral,13.25,Moderate,High-risk funds show unexpected performance,USER0621,51,High,long-term growth,46-60
FUND00152,Axis Tax Saver Fund,Balanced,13.73,High,Oil prices stabilize amid geopolitical tensions,USER0875,30,Low,retirement,26-35
FUND00153,Axis Tax Saver Fund,Index,8.6,Low,Oil prices stabilize amid geopolitical tensions,USER1609,32,High,long-term growth,26-35
FUND00154,Axis Index Fund,Hybrid,13.16,Low,Markets rally as tech stocks gain momentum,USER1513,52,Moderate,child education,46-60
FUND00155,SBI Tax Saver Fund,Index,13.47,High,Financial sector poised for recovery,USER0046,47,Moderate,short-term gain,46-60
FUND00156,ICICI Value Fund,Index,8.43,Low,Markets rally as tech stocks gain momentum,USER1089,46,Moderate,retirement,46-60
FUND00157,SBI Balanced Fund,Hybrid,21.33,Moderate,High-risk funds show unexpected performance,USER1845,59,Low,tax saving,46-60
FUND00158,SBI Tax Saver Fund,Equity,14.37,Low,Strong corporate earnings boost investor sentiment,USER1970,56,Low,retirement,46-60
FUND00159,ICICI Balanced Fund,Index,6.04,High,Markets rally as tech stocks gain momentum,USER1975,47,High,long-term growth,46-60
FUND00160,ICICI Balanced Fund,Equity,15.28,Moderate,Economic growth forecasts revised upward,USER0500,37,Moderate,child education,36-45
FUND00161,Axis Value Fund,Sectoral,7.13,Moderate,Oil prices stabilize amid geopolitical tensions,USER1896,50,High,retirement,46-60
FUND00162,Axis Growth Fund,Debt,15.94,Moderate,Mutual funds see record inflows this quarter,USER1379,23,Low,short-term gain,18-25
FUND00163,Axis Tax Saver Fund,Balanced,17.79,Low,Federal Reserve hints at interest rate cuts,USER0009,50,Low,long-term growth,46-60
FUND00164,Kotak Index Fund,Index,7.9,Low,Economic growth forecasts revised upward,USER0121,44,Moderate,short-term gain,36-45
FUND00165,SBI Value Fund,Index,16.82,Moderate,Index funds outperform actively managed peers,USER1905,39,Low,child education,36-45
FUND00166,Kotak Tax Saver Fund,Sectoral,14.06,Low,Mutual funds see record inflows this quarter,USER1497,26,Low,short-term gain,26-35
FUND00167,Axis Balanced Fund,Hybrid,16.11,Moderate,Investors shift focus to emerging markets,USER1629,47,High,child education,46-60
FUND00168,Axis Growth Fund,Index,21.48,Moderate,Investors shift focus to emerging markets,USER1054,47,Moderate,child education,46-60
FUND00169,Axis Balanced Fund,Index,10.77,Low,Strong corporate earnings boost investor sentiment,USER1681,41,Moderate,child education,36-45
FUND00170,Kotak Tax Saver Fund,Equity,8.23,Moderate,High-risk funds show unexpected performance,USER0672,59,Moderate,long-term growth,46-60
FUND00171,Kotak Tax Saver Fund,Balanced,7.55,Low,Economic growth forecasts revised upward,USER1464,55,High,tax saving,46-60
FUND00172,HDFC Index Fund,Debt,7.92,Moderate,High-risk funds show unexpected performance,USER0368,38,High,retirement,36-45
FUND00173,ICICI Growth Fund,Hybrid,11.61,Moderate,Mutual funds see record inflows this quarter,USER0075,53,High,retirement,46-60
FUND00174,SBI Balanced Fund,Index,13.71,Moderate,Federal Reserve hints at interest rate cuts,USER1089,46,Moderate,retirement,46-60
FUND00175,SBI Index Fund,Hybrid,13.38,Moderate,Investors shift focus to emerging markets,USER1540,52,High,short-term gain,46-60
FUND00176,SBI Growth Fund,Index,16.14,Low,Mutual funds see record inflows this quarter,USER1552,36,Moderate,long-term growth,36-45
FUND00177,Kotak Growth Fund,Hybrid,12.07,Low,Index funds outperform actively managed peers,USER0429,63,Moderate,short-term gain,
FUND00178,HDFC Growth Fund,Equity,19.27,Low,Oil prices stabilize amid geopolitical tensions,USER0634,40,Low,short-term gain,36-45
FUND00179,ICICI Growth Fund,Sectoral,10.68,Low,High-risk funds show unexpected performance,USER1575,48,Low,long-term growth,46-60
FUND00180,ICICI Balanced Fund,Index,25.6,High,Financial sector poised for recovery,USER1038,64,Moderate,short-term gain,
FUND00181,HDFC Tax Saver Fund,Debt,15.13,Moderate,Financial sector poised for recovery,USER0892,49,Low,long-term growth,46-60
FUND00182,SBI Value Fund,Debt,7.71,High,Markets rally as tech stocks gain momentum,USER0557,24,Low,long-term growth,18-25
FUND00183,Kotak Growth Fund,Debt,6.65,Moderate,Markets rally as tech stocks gain momentum,USER0025,40,High,child education,36-45
FUND00184,HDFC Tax Saver Fund,Equity,14.41,Moderate,Mutual funds see record inflows this quarter,USER1548,32,Low,child education,26-35
FUND00185,Kotak Index Fund,Index,10.88,High,Oil prices stabilize amid geopolitical tensions,USER0752,36,Low,long-term growth,36-45
FUND00186,ICICI Growth Fund,Sectoral,15.57,High,Economic growth forecasts revised upward,USER0003,39,Low,short-term gain,36-45
FUND00187,ICICI Growth Fund,Balanced,14.37,Moderate,Economic growth forecasts revised upward,USER1651,27,High,retirement,26-35
FUND00188,Kotak Growth Fund,Sectoral,11.64,Low,Financial sector poised for recovery,USER1528,63,Low,retirement,
FUND00189,SBI Tax Saver Fund,Index,7.77,High,Oil prices stabilize amid geopolitical tensions,USER0130,36,Moderate,tax saving,36-45
FUND00190,SBI Growth Fund,Sectoral,4.43,High,Oil prices stabilize amid geopolitical tensions,USER0510,32,Moderate,short-term gain,26-35
FUND00191,SBI Growth Fund,Index,9.77,Moderate,Investors shift focus to emerging markets,USER1151,62,Low,child education,
FUND00192,HDFC Index Fund,Hybrid,16.28,High,High-risk funds show unexpected performance,USER1012,64,High,short-term gain,
FUND00193,Axis Balanced Fund,Index,13.07,Low,Economic growth forecasts revised upward,USER0702,64,Moderate,short-term gain,
FUND00194,Kotak Value Fund,Sectoral,5.77,High,Oil prices stabilize amid geopolitical tensions,USER1491,57,Low,long-term growth,46-60
FUND00195,Axis Index Fund,Index,12.87,High,Oil prices stabilize amid geopolitical tensions,USER1232,52,Low,retirement,46-60
FUND00196,Kotak Value Fund,Hybrid,13.93,Low,Strong corporate earnings boost investor sentiment,USER0954,40,Low,retirement,36-45
FUND00197,HDFC Value Fund,Index,7.58,Low,Investors shift focus to emerging markets,USER0220,49,Low,short-term gain,46-60
FUND00198,Axis Tax Saver Fund,Sectoral,12.77,High,Investors shift focus to emerging markets,USER1368,23,Moderate,child education,18-25
FUND00199,Axis Value Fund,Equity,12.29,Moderate,Index funds outperform actively managed peers,USER0458,46,Moderate,child education,46-60
FUND00200,SBI Balanced Fund,Index,6.29,Low,Mutual funds see record inflows this quarter,USER0573,25,Moderate,tax saving,18-25
FUND00201,SBI Value Fund,Hybrid,13.79,Moderate,Economic growth forecasts revised upward,USER0410,46,Moderate,tax saving,46-60
FUND00202,Kotak Value Fund,Sectoral,14.8,Low,Investors shift focus to emerging markets,USER1101,35,High,retirement,26-35
FUND00203,Kotak Balanced Fund,Equity,17.42,Low,Index funds outperform actively managed peers,USER0683,31,Moderate,long-term growth,26-35
FUND00204,Axis Index Fund,Sectoral,17.27,Low,Oil prices stabilize amid geopolitical tensions,USER0096,63,Moderate,long-term growth,
FUND00205,Axis Index Fund,Index,5.11,Low,High-risk funds show unexpected performance,USER1270,56,Low,short-term gain,46-60
FUND00206,HDFC Value Fund,Debt,7.31,Moderate,Investors shift focus to emerging markets,USER0871,63,Low,tax saving,
FUND00207,ICICI Value Fund,Balanced,14.58,High,Oil prices stabilize amid geopolitical tensions,USER1019,22,High,short-term gain,18-25
FUND00208,SBI Index Fund,Sectoral,14.57,High,High-risk funds show unexpected performance,USER1693,47,Moderate,long-term growth,46-60
FUND00209,SBI Index Fund,Balanced,14.58,High,Investors shift focus to emerging markets,USER1897,30,Low,tax saving,26-35
FUND00210,SBI Value Fund,Balanced,31.26,Moderate,Investors shift focus to emerging markets,USER0301,42,High,long-term growth,36-45
FUND00211,SBI Value Fund,Hybrid,14.85,Low,Mutual funds see record inflows this quarter,USER1327,47,Low,child education,46-60
FUND00212,HDFC Balanced Fund,Hybrid,17.68,Low,Financial sector poised for recovery,USER1327,47,Low,child education,46-60
FUND00213,Kotak Balanced Fund,Debt,16.77,Low,Oil prices stabilize amid geopolitical tensions,USER0531,51,Moderate,child education,46-60
FUND00214,Axis Value Fund,Balanced,15.26,High,Federal Reserve hints at interest rate cuts,USER1980,30,Moderate,retirement,26-35
FUND00215,Kotak Tax Saver Fund,Hybrid,10.42,Low,Markets rally as tech stocks gain momentum,USER0491,38,Moderate,child education,36-45
FUND00216,ICICI Value Fund,Debt,15.79,Moderate,Oil prices stabilize amid geopolitical tensions,USER1338,55,High,retirement,46-60
FUND00217,ICICI Value Fund,Equity,8.14,High,Oil prices stabilize amid geopolitical tensions,USER0690,22,Moderate,child education,18-25
FUND00218,Kotak Balanced Fund,Hybrid,10.82,Low,High-risk funds show unexpected performance,USER1136,32,Moderate,child education,26-35
